"CODE","NAME","ptrans","health","cultfc","greens","public","cleans","trusts","safety","afford","lives"
"AT001C","Wien",95,84.7,94.4,89.5,87.3,86.7,76.3,81.3,19.2,93.7
"AT002C","Graz",75.7,90.4,86,76.8,85.5,81.4,84.9,79.7,24.5,91.3
"BE001C","Bruxelles/Brussel",69.8,84.3,81.5,84,78.4,40.9,50.9,57.9,18.3,87.4
"BE002C","Antwerpen",69.5,91.7,89.4,84.3,88.1,75.9,64.4,71.1,36.3,91.7
"BE005C","Liège",56.3,87.4,78,73.5,73.8,41,47.5,43,34.8,85.9
"BG001C","Sofia",71.8,47.6,71.2,63.7,56.9,33.7,33.8,40.1,40.3,82.4
"BG004C","Burgas",78.2,43.2,69.7,81.1,82.1,71.1,63.6,70.6,45.6,93.5
"CH002C","Zürich",96.2,91.9,93.8,90.1,89,89.5,81.9,89.1,10.6,97.3
"CY001C","Lefkosia",40,61.2,59.1,53.7,55.8,62.1,49.6,69.7,41.7,85.1
"CZ001C","Praha",87.4,85.2,86.1,78.6,81.1,56.9,39,64.1,23.5,92.3
"CZ003C","Ostrava",81.8,80.4,87.2,88.6,73.6,59.7,48.3,51.2,52.4,86.2
"DE001C","Berlin",82.9,83,84,86.8,79.8,48,64.8,66.6,11.8,90.5
"DE002C","Hamburg",87.8,82.5,90,88.8,82.5,71.9,80,83.9,6.2,96.6
"DE003C","München",83.7,89.6,90.4,93.1,85.8,86.5,81.1,87.3,6.1,95.7
"DE004C","Köln",64.6,87.8,84.3,79.6,69.3,49.5,77.9,54.5,6.4,91
"DE005C","Frankfurt am Main",79.9,85,90.3,81.5,77.6,63.6,74.8,58.8,4.6,94
"DE006C","Essen",66,86.3,82.3,83,77.3,58.6,69.3,77.6,31.9,89.9
"DE007C","Stuttgart",77.6,90.4,91.1,81.2,79.8,70.4,81.9,61.3,5.4,91.6
"DE008C","Leipzig",77.4,83,90.7,90,85.6,70.7,78.6,69.6,47.2,95.9
"DE009C","Dresden",89.6,84.7,93.1,88.7,84.8,81.2,88.3,50.2,18.2,96.2
"DE010C","Dortmund",83.2,80.8,88.1,90.7,82,61.5,68,72.2,27.9,95.9
"DE011C","Düsseldorf",76,89,90.5,87.9,84.4,77.6,80.7,64.6,12.4,95.2
"DE014C","Nürnberg",77.2,90.7,90.9,76.6,81.2,72.6,83.1,62.3,17,95.6
"DE023C","Darmstadt",80.9,79.7,91.7,81.8,79.7,78.8,81.8,67.2,6,93.2
"DE025C","Freiburg im Breisgau",85.2,91.4,89.5,84.8,88,79.4,86.9,50.7,7.7,96.6
"DE031C","Augsburg",74.8,87.5,88.5,82.4,84.4,83.2,85.1,61.6,16.1,94
"DE033C","Karlsruhe",80.2,87.2,90.8,90.4,77.8,77.5,86.6,58.5,9.2,94.3
"DE037C","Saarbrücken",53.5,89.9,84.5,70.1,76.4,61.2,86.8,49.4,33.1,92.1
"DE039C","Koblenz",55.4,90.7,85.2,74.5,77.1,82.2,86.9,60.6,21.2,95.7
"DE040C","Rostock",85.5,84.1,62,83.8,83.6,72.2,80.6,81.1,21.8,93.6
"DE051C","Konstanz",77.6,82.6,78.2,77.7,85.8,86.5,90.5,77.9,6.9,97.1
"DE081C","Mannheim",83.1,90,92.7,82.1,79.3,56.7,81.4,47.3,17.2,94.7
"DE085C","Braunschweig",78.8,83.7,89.6,89.3,89.1,81.7,87.3,66.6,19.2,96.5
"DE086C","Aachen",58.3,93.1,81.9,80.4,80.2,70.3,85,63.5,15.7,94.3
"DE091C","Kassel",74.3,85.4,92.7,93,75.5,78.6,83.4,58.4,22.9,93.4
"DE095C","Osnabrück",68.4,92.2,84,69.7,75.7,78.9,86.9,60.3,15.6,97.2
"DE102C","Würzburg",79,91.9,86.4,88.3,86.5,87.2,90.4,78.4,8.6,97
"DE103C","Recklinghausen",65.6,90.3,81,77.3,81.7,75.3,78.4,46.1,35,91.8
"DE104C","Wolfsburg",72,71.3,87.6,86.5,86.7,87.3,77.7,60.8,13.9,93
"DE112C","Ingolstadt",66.4,82,85.3,88.1,79.8,86.5,82.7,55.9,10.4,91.5
"DE116C","Fürth",82.3,90.3,90.4,89.1,83.9,82.5,86.8,68.1,29,95.7
"DE122C","Zwickau",69.8,69.8,82.1,84.8,80.7,72.2,83.8,43.2,58.9,95.3
"DK001C","København",77.5,78.9,84.2,89.9,80.3,70.8,87.2,93.4,8.8,97.9
"DK004C","Aalborg",70.9,80.6,91.7,90.2,81.9,79.7,87.5,92.2,61.5,96.2
"EE001C","Tallinn",74.7,57.6,87.3,85,78.7,78.8,55,80.6,18.2,91.6
"EE002C","Tartu",65,84,93,88,90,87,80,70,29,99
"EE003C","Narva",56,55,79,81,77,82,63,45,55,94
"EL004C","Irakleio",55.9,47.8,52.6,30.8,49.9,36.7,57.4,71.1,54.9,81.8
"ES001C","Madrid",72.3,63.3,61.9,67.3,69.7,38.3,71.1,73.6,36,83.6
"ES002C","Barcelona",72.5,67.2,74.4,69.8,79.8,59.8,70.3,76.7,32.2,89.3
"ES006C","Málaga",74.4,64.8,75.1,60.8,74.5,42.2,76.6,84,59.8,93.8
"ES013C","Oviedo",70.1,76.9,72.9,82.5,89.7,92,86.5,90.9,59.1,93.4
"FI004C","Oulu/Uleåborg",47.7,63.3,86.1,87.8,82.5,84.8,84.4,88.2,70.2,93.9
"FR001C","Paris",74.9,79.5,85.7,83.5,80.5,42.7,49.2,72.3,10.2,85.4
"FR004C","Marseille",66.7,83.2,74.3,63.5,59.3,25.3,42.6,45.8,27.6,82
"FR005C","Bordeaux",83.4,88.5,82.1,83.7,87.6,66.4,69.4,79.4,22.5,92.7
"FR009C","Strasbourg",83.5,85.6,87.4,88.6,87.4,74.1,68.7,73.3,31.8,90.6
"FR016C","Rennes",83.5,83.7,87,91.9,88.2,78.7,70.5,73.7,47.8,96.7
"HR001C","Zagreb",76.5,64.1,85.1,81.3,80.7,68.8,57.5,82,43.8,89.7
"HU001C","Budapest",68.1,40.1,79.8,69.2,78.9,43,39,65.4,34.8,86
"HU002C","Miskolc",63.1,40.6,75.3,73.2,76.2,48.1,38,51.5,45.3,80.2
"IE001C","Dublin",71.9,60.3,87.3,86.4,74.5,62.4,78.3,74.4,15.4,93.7
"IS001C","Reykjavík",42.7,66,87.1,75.2,74.6,71.2,86.8,84.9,19.5,93.5
"IT001C","Roma",25.3,49.5,68.9,58.8,53.4,8.2,47.9,38.9,23.6,74.2
"IT003C","Napoli",29.6,44.1,61.1,29.8,48.1,25.3,58.9,49.9,51.2,70
